pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
AU Mic b,AU Mic,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46321,0.00004,-0.00004,0,0.066,0.007,-0.006,0,4.203,0.202,-0.202,0,0.375,0.018,-0.018,0,57.2094,,,1,0.18,,,1,Msini,0.1,0.17,-0.09,0,,,,,,,,,0,M1VE,3700,100,-100,0,0.75,0.03,-0.03,0,0.5,0.03,-0.03,0,,,,,,4.57,0.01,-0.01,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,0,481.9,2.7,-2.8,0,1.3,0.1,-0.1,0,12.7,,,0,1.13,,,0,2034.112,413.179,-413.179,0,6.4,1.3,-1.3,0,Msini,0.2,0.12,-0.08,0,,,,,,,,,0,,4095,20,-20,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,-0.71,0.09,-0.09,0,[Fe/H],1.89,0.1,-0.1,0,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,63.875,-63.875,9.577,0.008,-0.008,6.021,0.021,-0.021,8.9977,0.000292,-0.000292
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,268.94,0.99,-0.99,0,0.78,0.05,-0.05,0,13.8,,,0,1.23,,,0,330.5432,149.3801,-149.3801,0,1.04,0.47,-0.47,0,Msini,0.29,0.03,-0.03,0,,,,,,,,,0,K2 V,4864,101,-101,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,0.17,,,0,[Fe/H],4.26,0.29,-0.29,0,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,0.0846,-0.0844,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,153.22,0.44,-0.44,0,0.576,0.027,-0.027,0,13.8,,,0,1.23,,,0,337.21763,85.8141,-85.8141,0,1.061,0.27,-0.27,0,Msini,0.001,0.25,-0.001,0,,,,,,,,,0,G5,4649,30,-30,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,-0.22,0.08,-0.08,0,[Fe/H],2.61,0.12,-0.12,0,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,45.038,-45.038,10.41,0.01,-0.01,7.718,0.017,-0.017,9.9918,0.000458,-0.000458
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,0,137.48,0.34,-0.34,0,0.539,,,0,13.7,,,0,1.23,,,0,352.78,,,0,1.11,,,0,Msini,0.26,0.1,-0.1,0,,,,,,,,,0,K0,4796,117,-117,0,14.7,2.8,-2.8,0,1.1,0.2,-0.2,0,0.28,0.07,-0.07,0,[Fe/H],2.8,0.45,-0.45,0,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,6.44,-6.44,9.01,0.03,-0.03,6.525,0.016,-0.016,8.7178,0.000291,-0.000291
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,379.63,2,-2,0,1.05,0.07,-0.07,0,11.6,,,0,1.03,,,0,17668.1697,24965.5465,-24965.5465,0,55.59,78.55,-78.55,0,Msini,0.15,0.03,-0.03,0,,,,,,,,,0,K2 II,4259,64,-64,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0,-0.79,,,0,[Fe/H],1.77,0.19,-0.19,0,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,189.925,-189.925,9.743,0.008,-0.008,6.42,0.021,-0.021,9.22684,0.000442,-0.000442
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,621.99,10.2,-10.2,0,2.01,,,0,12.4,,,0,1.1,,,0,3963.17,,,0,12.47,,,0,Msini,0.18,0.06,-0.06,0,,,,,,,,,0,K2 II,4137,10,-10,0,49,26,-26,0,2.8,1.5,-1.5,0,-1,0.07,-0.07,0,[Fe/H],1.51,0.05,-0.05,0,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,189.925,-189.925,9.743,0.008,-0.008,6.42,0.021,-0.021,9.22684,0.000442,-0.000442
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,0,578.2,5.4,-5.4,0,1.3,,,0,13,,,0,1.16,,,0,1334.886,,,0,4.2,,,0,Msini,0.21,0.06,-0.06,0,,,,,,,,,0,K5 III,4296,10,-10,0,17.3,0.9,-0.9,0,0.8,0.2,-0.2,0,-0.46,0.07,-0.07,0,[Fe/H],1.99,0.05,-0.05,0,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51,80.535,-80.535,9.367,0.008,-0.008,6.169,0.027,-0.027,8.91613,0.000468,-0.000468
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.6855,0.003,-0.003,0,0.241,0.019,-0.017,0,2.578,0.112,-0.112,0,0.23,0.01,-0.01,0,22.2481,9.5349,-9.5349,0,0.07,0.03,-0.03,0,Mass,0,,,0,,,,,546,19,-18,0,0,G,5766,99,-99,0,1.08,0.06,-0.06,0,1.67,0.4,-0.4,0,-0.15,,,0,[Fe/H],4.5,0.08,-0.08,0,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,0,392.6,5.5,-5.5,0,1,,,0,13.9,,,0,1.24,,,0,289.2253,,,0,0.91,,,0,Msini,0.2,0.1,-0.1,0,,,,,,,,,0,K0 III,4414,15,-15,0,11,1,-1,0,0.74,0.39,-0.39,0,-0.2,0.07,-0.07,0,[Fe/H],2.24,0.06,-0.06,0,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,43.849,-43.849,9.139,0.004,-0.004,5.904,0.018,-0.018,8.65569,0.000365,-0.000365
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,0,733,5,-8,0,1.7,0.1,-0.1,0,13.5,,,0,1.2,,,0,540.311,222.481,-222.481,0,1.7,0.7,-0.7,0,Msini,0.76,0.05,-0.09,0,,,,,,,,,0,K3 III,4534,8,-8,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,-0.13,0.06,-0.06,0,[Fe/H],2.48,0.04,-0.04,0,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.589,21.5335,-21.5335,8.69,0.03,-0.03,5.645,0.017,-0.017,8.26449,0.000761,-0.000761
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,0,2590,300,-180,0,4.2,0.32,-0.2,0,13.5,,,0,1.21,,,0,508.5,127.1,-63.6,0,1.6,0.4,-0.2,0,Msini,0.35,0.24,-0.1,0,,,,,,,,,0,K0,4943,30,-30,0,7.6,1.3,-1.3,0,1.52,0.22,-0.22,0,-0.19,0.06,-0.06,0,[Fe/H],2.85,0.09,-0.09,0,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.042,7.654,-7.654,9.381,0.005,-0.005,6.571,0.021,-0.021,9.02851,0.000235,-0.000235
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,0,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,2.85,,,0,0.254,,,0,8.5,1.3,-1.3,0,0.027,0.004,-0.004,0,Msini,0,,,0,,,,,,,,,0,K7/M0 V,4324,100,-100,0,0.69,0.06,-0.07,0,0.7,,,0,-0.14,0.17,-0.17,0,[Fe/H],4.74,0.02,-0.02,0,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,0.022,-0.0218,9.7,0.03,-0.03,6.305,0.018,-0.018,9.10677,0.000602,-0.000602
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,0,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,8.38,,,0,0.747,,,0,53,8,-8,0,0.17,0.03,-0.03,0,Msini,0.31,0.11,-0.11,0,,,,,,,,,0,K7/M0 V,4324,100,-100,0,0.69,0.06,-0.07,0,0.7,,,0,-0.14,0.17,-0.17,0,[Fe/H],4.74,0.02,-0.02,0,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,0.022,-0.0218,9.7,0.03,-0.03,6.305,0.018,-0.018,9.10677,0.000602,-0.000602
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,0,5.6,0.02,-0.02,0,0.06,0,0,0,3.61,,,0,0.322,,,0,12.7132,3.1783,-3.1783,0,0.04,0.01,-0.01,0,Msini,0.15,0.15,-0.15,0,,,,,,,,,0,K3 V,4816,114,-114,0,0.71,0.04,-0.04,0,0.5,0.26,-0.26,0,-0.06,,,0,[Fe/H],4.43,0.22,-0.22,0,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,0.0685,-0.0682,9.86,0.03,-0.03,7.323,0.021,-0.021,9.50331,0.000418,-0.000418
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,0,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,12.5,,,0,1.11,,,0,104,10,-10,0,0.33,0.03,-0.03,0,Msini,0.19,0.09,-0.09,0,,,,,,,,,0,K3 V,4746,63,-63,0,0.72,0.02,-0.02,0,0.74,0.07,-0.07,0,-0.07,0.03,-0.03,0,[Fe/H],4.13,0.26,-0.26,0,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,0.0685,-0.0682,9.86,0.03,-0.03,7.323,0.021,-0.021,9.50331,0.000418,-0.000418
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,0,3.48777,0.00011,-0.00011,0,0.04,0,0,0,14.1,,,0,1.26,,,0,187.5197,22.2481,-22.2481,0,0.59,0.07,-0.07,0,Msini,0.02,0.02,-0.02,0,,,,,,,,,0,K0 V,5393,44,-44,0,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0,0.38,,,0,[Fe/H],4.69,0.06,-0.06,0,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,0.3537,-0.3508,10.013,0.007,-0.007,8.124,0.026,-0.026,9.83981,0.000607,-0.000607
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,0,1634,13,-14,0,2.36,0.04,-0.04,0,14.1,,,0,1.25,,,0,206.5895,15.8915,-19.0698,0,0.65,0.05,-0.06,0,Msini,0.05,0.05,-0.03,0,,,,,,,,,0,K7 V,4550,110,-110,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,-0.35,0.15,-0.15,0,[Fe/H],4.64,0.03,-0.03,0,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,0.0346,-0.0346,10.03,0.03,-0.03,6.867,0.024,-0.024,9.48511,0.000518,-0.000518
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,0,74.2,0.06,-0.08,0,0.3,0.01,-0.01,0,4.04,,,0,0.36,,,0,15.37,2.97,-2.81,0,0.04836,0.00934,-0.00884,0,Msini,0.4,0.13,-0.15,0,,,,,,,,,0,K7V,4550,110,-110,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,-0.35,0.15,-0.15,0,[Fe/H],4.64,0.03,-0.03,0,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,0.0346,-0.0346,10.03,0.03,-0.03,6.867,0.024,-0.024,9.48511,0.000518,-0.000518
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,0,714.29999,5.3,-5.3,0,1.66,0.12,-0.12,0,12.5,,,0,1.11,,,0,3108.3774,1449.3048,-1449.3048,0,9.78,4.56,-4.56,0,Msini,0.21,0.07,-0.07,0,,,,,,,,,0,G5 IV/V,4545,71,-71,0,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0,-0.08,,,0,[Fe/H],2.2,0.2,-0.2,0,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.214,41.211,-41.211,10.038,0.009,-0.009,7.151,0.023,-0.023,9.69971,0.000337,-0.000337
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,0,655.6,0.6,-0.6,0,1.34,0.02,-0.02,0,12.8,,,0,1.15,,,0,1620.9,38.14,-38.14,0,5.1,0.12,-0.12,0,Msini,0.54,0.005,-0.005,0,,,,,,,,,0,K5 V,4714,93,-93,0,0.69,,,0,0.74,0.03,-0.03,0,-0.03,0.06,-0.06,0,[Fe/H],4.26,0.24,-0.24,0,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,0.0929,-0.0924,9.62,0.03,-0.03,6.914,0.024,-0.024,9.20112,0.000514,-0.000514
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,0,10037.5,2737.5,-2737.5,0,2.6,0.3,-0.3,0,12.4,,,0,1.11,,,0,3337.1,1430.2,-1430.2,0,10.5,4.5,-4.5,0,Mass,,,,,,,,,370,40,-40,0,0,,580.5,24.5,-24.5,0,,,,,0.02,0.01,-0.01,0,,,,,,4.72,0.28,-0.28,0,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,23.1,2.4,-2.4,,,,,,,,,
CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,0,,,,,210,,,0,12.3,,,0,1.1,,,0,3994.486,2662.991,-1664.369,0,12.569,8.379,-5.237,0,Mass,,,,,,,,,,,,,0,M3.5,3099,128,-128,0,,,,,0.35,,,0,,,,,,,,,,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.374,6.647,-6.22,,,,10.703,0.023,-0.023,17.2934,0.001396,-0.001396
CI Tau b,CI Tau,1,1,Radial Velocity,2019,Multiple Observatories,0,8.9891,0.0202,-0.0202,0,,,,,12.4,,,0,1.11,,,0,3686.828,921.707,-858.141,0,11.6,2.9,-2.7,0,Mass,0.25,0.16,-0.16,0,,,,,,,,,0,K7,3807,131,-131,0,1.88,0.09,-0.42,0,0.9,0.02,-0.02,0,,,,,,,,,,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.998,1.198,-1.18,13.642,0.172,-0.172,7.793,0.02,-0.02,12.1454,0.011866,-0.011866
CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,0,,,,,440,,,0,24.66,9.08,-6.73,0,2.2,0.81,-0.6,0,5403,1907,-1907,0,17,6,-6,0,Mass,,,,,,,,,2600,250,-250,0,0,K5e,4403,6,-10,0,1.68,0.1,-0.16,0,,,,,-0.56,0.01,-0.01,0,[Fe/H],3.66,0.01,-0.01,0,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,0.778,-0.771,12.335,0.069,-0.069,8.661,0.021,-0.021,11.7733,0.004701,-0.004701
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,0,1.5089557,0.0000064,-0.0000064,0,0.02752,0.00022,-0.00023,0,16.7,0.9,-0.9,0,1.49,0.08,-0.08,0,327.35,38.14,-38.14,0,1.03,0.12,-0.12,0,Mass,0,,,0,,,,,1898,50,-50,0,0,G0 V,5950,150,-150,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,-0.3,0.25,-0.25,0,[M/H],4.25,0.3,-0.3,0,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,23.491,-23.491,13.623,0.114,-0.114,12.149,0.027,-0.027,13.457,0.000477,-0.000477
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,0,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,10.87,0.78,-0.78,0,0.97,0.07,-0.07,0,874,50.85,-50.85,0,2.75,0.16,-0.16,0,Mass,0.53,0.04,-0.04,0,,,,,600,23,-23,0,0,K1 V,5075,75,-75,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.26,0.07,-0.07,0,[Fe/H],4.65,0.1,-0.1,0,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,3.9865,-3.9865,15.293,0.137,-0.137,11.782,0.021,-0.021,14.6645,0.000329,-0.000329
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,0,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,16.03,0.34,-0.34,0,1.43,0.03,-0.03,0,740.51,108.06,-108.06,0,2.33,0.34,-0.34,0,Mass,0,,,0,,,,,1657,55,-55,0,0,F6 V,6440,120,-120,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.03,0.08,-0.08,0,[Fe/H],4.22,0.23,-0.23,0,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,24.947,-23.209,12.897,0.114,-0.114,11.248,0.022,-0.022,12.841,0.000336,-0.000336
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,0,2.828042,0.000013,-0.000013,0,0.04016,0.00093,-0.00092,0,16.14,1.46,-1.46,0,1.44,0.13,-0.13,0,291.438,22.247,-20.658,0,0.917,0.07,-0.065,0,Mass,0.07,0.063,-0.042,0,,,,,1442,58,-58,0,0,,5675,80,-80,0,1.12,0.1,-0.09,0,1.08,0.08,-0.07,0,0.16,0.1,-0.1,0,[Fe/H],4.38,0.07,-0.06,0,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,55.745,-55.745,15.588,0.183,-0.183,13.557,0.042,-0.042,15.3453,0.00077,-0.00077
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,0,4.03519,0.00003,-0.00003,0,0.051,0.0031,-0.0031,0,9.92,0.157,-0.157,0,0.885,0.014,-0.014,0,415.704,20.976,-20.976,0,1.308,0.066,-0.066,0,Mass,0,,,0,,,,,1700,,,0,0,G0 V,5945,90,-90,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.01,0.07,-0.07,0,[Fe/H],4.46,0.05,-0.05,0,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,62.12,-56.15,15.005,0.297,-0.297,13.376,0.039,-0.039,14.9147,0.0005,-0.0005
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,0,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,12.22,0.78,-0.78,0,1.09,0.07,-0.07,0,2415.4,190.7,-190.7,0,7.6,0.6,-0.6,0,Mass,0,,,0,,,,,1952,66,-66,0,0,F9 V,6035,100,-100,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.05,0.15,-0.15,0,[Fe/H],4.35,0.15,-0.15,0,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,173.03,-144.9,15.932,0.206,-0.206,13.806,0.053,-0.053,15.8116,0.000769,-0.000769
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,0,5.35227,0.0002,-0.0002,0,0.0618,0.0015,-0.0015,0,13.11,1.79,-1.57,0,1.17,0.16,-0.14,0,170.032,27.014,-26.379,0,0.535,0.085,-0.083,0,Mass,0.33,0.09,-0.1,0,,,,,,,,,0,G5 V,5650,100,-100,0,1.19,0.14,-0.13,0,1.1,0.08,-0.08,0,0.19,0.06,-0.06,0,[M/H],4.36,0.1,-0.1,0,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.409,35.344,-32.282,16.052,0.217,-0.217,12.847,0.037,-0.037,15.6507,0.000998,-0.000998
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,0,3.7681,0.0003,-0.0003,0,0.0461,0.0008,-0.0008,0,11.43,0.78,-0.78,0,1.02,0.07,-0.07,0,772.29,95.34,-95.34,0,2.43,0.3,-0.3,0,Mass,0,,,0,,,,,1626,31,-31,0,0,G2 V,5740,80,-80,0,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0,0,0.1,-0.1,0,[Fe/H],4.4,0.1,-0.1,0,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,57.17,-52.19,16.29,0.32,-0.32,12.472,0.054,-0.054,15.4368,0.000524,-0.000524
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,0,1.9000693,0.0000028,-0.0000028,0,0.0295,0.0016,-0.0016,0,14.68,2.02,-2.02,0,1.31,0.18,-0.18,0,1102.82,120.77,-120.77,0,3.47,0.38,-0.38,0,Mass,0.08,,,1,,,,,1550,90,-90,0,0,G9 V,5440,100,-100,0,1,0.13,-0.13,0,0.95,0.15,-0.15,0,-0.1,0.1,-0.1,0,[Fe/H],4.4,0.1,-0.1,0,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,27.614,-25.784,14.868,0.172,-0.172,13.014,0.03,-0.03,14.8009,0.001211,-0.001211
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,0,3.89713,0.00002,-0.00002,0,0.0518,0.0008,-0.0008,0,14.46,0.34,-0.34,0,1.29,0.03,-0.03,0,352.78,19.07,-19.07,0,1.11,0.06,-0.06,0,Mass,0.047,0.045,-0.045,0,,,,,2000,150,-150,0,0,F9 V,6090,70,-70,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,-0.02,0.1,-0.1,0,[Fe/H],4.07,0.03,-0.03,0,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,26.737,-25.071,14.135,0.149,-0.149,11.837,0.024,-0.024,13.7831,0.000558,-0.000558
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,0,1.7429935,0.000001,-0.000001,0,0.02798,0.00076,-0.0008,0,16.432,0.471,-0.493,0,1.466,0.042,-0.044,0,1102.82,69.92,-69.92,0,3.47,0.22,-0.22,0,Mass,0.0143,0.0077,-0.0076,0,,,,,1521,18,-18,0,1,,5625,120,-120,0,0.91,0.03,-0.03,0,0.96,0.08,-0.08,0,0.04,0.05,-0.05,0,[Fe/H],4.53,0.02,-0.02,0,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.283,2.485,-2.43,12.516,0.092,-0.092,10.31,0.031,-0.031,12.2489,0.000911,-0.000911
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,0,9.24285,0.0003,-0.0003,0,0.09,0.002,-0.002,0,9.416,0.448,-0.448,0,0.84,0.04,-0.04,0,1366.669,63.566,-63.566,0,4.3,0.2,-0.2,0,Mass,0.59,0.02,-0.02,0,,,,,1024,16,-16,0,0,G2 V,5880,90,-90,0,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0,0.14,0.12,-0.12,0,,4.35,0.11,-0.14,0,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061,24.171,-22.883,14.63,0.092,-0.092,12.513,0.029,-0.029,14.4686,0.000412,-0.000412
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,Multiple Observatories,0,1675,19,-17,0,2.9,0.07,-0.07,0,12.2,,,0,1.09,,,0,5403.11,317.83,-317.83,0,17,1,-1,0,Msini,0.6,0.03,-0.03,0,,,,,,,,,0,G2 V,4947.5,65.51,-52.5,0,1.37,0.03,-0.04,0,1.14,0.08,-0.08,0,0.14,0.12,-0.12,0,,4.35,0.11,-0.14,0,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061,24.171,-22.883,14.63,0.092,-0.092,12.513,0.029,-0.029,14.4686,0.000412,-0.000412
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,CoRoT,0,2.72474,0.00014,-0.00014,0,0.0417,0.0011,-0.0011,0,14.572,1.569,-1.569,0,1.3,0.14,-0.14,0,718.2958,98.5273,-98.5273,0,2.26,0.31,-0.31,0,Mass,0,,,0,,,,,,,,,0,F8 IV,6200,100,-100,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0,0,0.1,-0.1,0,[Fe/H],3.7,0.1,-0.1,0,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,1398.834197,286.4501849,-286.4501849,16.058,0.435,-0.435,13.813,0.054,-0.054,15.8558,0.001968,-0.001968
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,0,9.75598,0.00011,-0.00011,0,0.092,0.0014,-0.0014,0,4.88,0.17,-0.39,0,0.435,0.015,-0.035,0,12.2,14,-8.8,0,0.038,0.044,-0.028,0,Mass,0.077,0.3,-0.042,0,,,,,885,53,-280,0,0,G3 V,5939,54,-120,0,1.14,0.04,-0.09,0,1.1,0.05,-0.05,0,0.17,0.07,-0.12,0,[Fe/H],4.36,0.07,-0.03,0,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,627.158,11.187,-10.808,13.82,0.114,-0.114,11.988,0.026,-0.026,13.7305,0.000304,-0.000304
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,0,3.6313,0.0001,-0.0001,0,0.048,0.004,-0.004,0,11.77,1.46,-1.46,0,1.05,0.13,-0.13,0,889.9,95.3,-95.3,0,2.8,0.3,-0.3,0,Mass,0.16,0.02,-0.02,0,,,,,1660,,,0,0,G0 V,5900,100,-100,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,0.05,0.1,-0.1,0,[Fe/H],4.3,0.2,-0.2,0,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.97,45.47,-41.94,15.675,0.206,-0.206,12.364,0.032,-0.032,15.0681,0.000409,-0.000409
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,0,5.1134,0.0006,-0.0006,0,0.056,0.002,-0.002,0,3.7,0.4,-0.4,0,0.33,0.04,-0.04,0,5.7,,,1,0.018,,,1,Mass,0,,,0,,,,,1070,140,-140,0,0,K1 V,4950,150,-150,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.3,0.15,-0.15,0,[Fe/H],4.55,0.15,-0.15,0,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,591.555,16.043,-15.232,15.383,0.114,-0.114,12.924,0.024,-0.024,15.1801,0.000631,-0.000631
